title,category,county,address,address2,zip
Bxdgxrl Beauty,Hair and Beauty,City of St Louis,2017 S Grand Blvd,"St Louis,  MO 63110",63110
C & J Package Liquor,Liquor Store,City of St Louis,2901 Union Blvd,"St Louis,  MO 63115",63115
Cafe Balaban's,Liquor Store,City of St Louis,412 N Euclid Ave,"St Louis,  MO 63108",63108
Cali Nails,Hair and Beauty,St Louis,7315 W Florissant Ave,"St Louis,  MO 63136",63136
Caribbean Creme,Liquor Store,City of St Louis,4241 Folsom Ave,"St Louis,  MO 63110",63110
Carrie's Beauty Salon,Hair and Beauty,City of St Louis,6306 W Florissant Ave,"St Louis,  MO 63136",63136
Catwalk Fashion,Hair and Beauty,St Louis,10460 W Florissant Ave,"St Louis,  MO 63136",63136
Central West End Nails & Spa,Hair and Beauty,City of St Louis,4904 Laclede Ave,"St Louis,  MO 63108",63108
Charleville Brewing Company and Tavern,Liquor Store,City of St Louis,2101 Chouteau Ave,"St Louis,  MO 63103",63103
Check 'n Go,Payday Loan,City of St Louis,1415 N Grand Blvd,"St Louis,  MO 63106",63106
Chop Shop,Hair and Beauty,City of St Louis,4139 Manchester Ave,"St Louis,  MO 63110",63110
Christopher Stevens the Salon,Hair and Beauty,City of St Louis,2020 Washington Ave,"St Louis,  MO 63103",63103
Chrystyle's Salon,Hair and Beauty,City of St Louis,4061 Dr Martin Luther King Dr,"St Louis,  MO 63113",63113
Cielo,Hair and Beauty,City of St Louis,2119 Marconi Ave,"St Louis,  MO 63110",63110
City Styles Hair Salon,Hair and Beauty,City of St Louis,906 Olive St,"St Louis,  MO 63101",63101
Classic Fine Art Greeting Cards,Hair and Beauty,City of St Louis,Market St,"St Louis,  MO 63103",63103
Classic Nails,Hair and Beauty,City of St Louis,4930 Delmar Blvd,"St Louis,  MO 63108",63108
Clayton's Barber Shop,Hair and Beauty,City of St Louis,4163 N Newstead Ave,"St Louis,  MO 63115",63115
