title,category,county,address,address2,zip,address_full
BP,Gas Station,St Clair,1736 Missouri Ave,"East St Louis, IL 62205",62205,"1736 Missouri Ave, East St Louis, IL 62205"
BP,Gas Station,St Clair,1951 Collinsville Rd,"East St Louis, IL 62201",62201,"1951 Collinsville Rd, East St Louis, IL 62201"
BP,Gas Station,Madison,8407 Collinsville Rd,"East St Louis, IL 62201",62201,"8407 Collinsville Rd, East St Louis, IL 62201"
Conoco,Gas Station,St Clair,599 Water St,"East St Louis, IL 62206",62206,"599 Water St, East St Louis, IL 62206"
Exxon,Gas Station,St Clair,5404 Collinsville Rd,"East St Louis, IL 62201",62201,"5404 Collinsville Rd, East St Louis, IL 62201"
Fostaire Helicopters,Gas Station,St Clair,5600 Vector Dr,"East St Louis, IL 62206",62206,"5600 Vector Dr, East St Louis, IL 62206"
Freddie's Shell Service Center,Gas Station,St Clair,5400 Bunkum Rd,"East St Louis, IL 62204",62204,"5400 Bunkum Rd, East St Louis, IL 62204"
Heroes Market,Gas Station,St Clair,4300 Bunkum Rd,"East St Louis, IL 62204",62204,"4300 Bunkum Rd, East St Louis, IL 62204"
Jet Aviation,Gas Station,St Clair,Mark Allen Dr,"East St Louis, IL 62206",62206,"Mark Allen Dr, East St Louis, IL 62206"
Mobil,Gas Station,St Clair,1441 Kingshighway,"East St Louis, IL 62204",62204,"1441 Kingshighway, East St Louis, IL 62204"
Mobil,Gas Station,St Clair,348 Collinsville Ave,"East St Louis, IL 62201",62201,"348 Collinsville Ave, East St Louis, IL 62201"
Mobil,Gas Station,St Clair,8301 State St,"East St Louis, IL 62203",62203,"8301 State St, East St Louis, IL 62203"
Moto Mart,Gas Station,St Clair,3120 Mississippi Ave,"East St Louis, IL 62206",62206,"3120 Mississippi Ave, East St Louis, IL 62206"
Motomart,Gas Station,St Clair,1117 Camp Jackson Rd,"East St Louis, IL 62206",62206,"1117 Camp Jackson Rd, East St Louis, IL 62206"
