title,category,county,address,address2,zip,address_full
Tiny Bubbles Laundromat,Laundry,City of St Louis,3415 S Grand Blvd,"St Louis, MO 63118",63118,"3415 S Grand Blvd, St Louis, MO 63118"
Tiny Bubbles Laundromat,Laundry,City of St Louis,3458 Miami St,"St Louis, MO 63118",63118,"3458 Miami St, St Louis, MO 63118"
Washateria,Laundry,City of St Louis,2901 Shenandoah Ave,"St Louis, MO 63104",63104,"2901 Shenandoah Ave, St Louis, MO 63104"
Wishy Washy Laundromat,Laundry,City of St Louis,6403 Gravois Ave,"St Louis, MO 63116",63116,"6403 Gravois Ave, St Louis, MO 63116"
141 Liquors-Fine Wines & Spirits,Liquor Store,City of St Louis,Outer Rd,"St Louis, MO 63104",63104,"Outer Rd, St Louis, MO 63104"
"1860 Saloon, Game Room, & Hardshell Café",Liquor Store,City of St Louis,1860 S 9th St,"St Louis, MO 63104",63104,"1860 S 9th St, St Louis, MO 63104"
33 Wine Shop & Bar,Liquor Store,City of St Louis,1913 Park Ave,"St Louis, MO 63104",63104,"1913 Park Ave, St Louis, MO 63104"
4 Hands Brewing Company,Liquor Store,City of St Louis,2831 Cherokee St,"St Louis, MO 63118",63118,"2831 Cherokee St, St Louis, MO 63118"
Alpha Brewery Company,Liquor Store,City of St Louis,4310 Fyler Ave,"St Louis, MO 63116",63116,"4310 Fyler Ave, St Louis, MO 63116"
Anheuser Busch Brewery,Liquor Store,City of St Louis,1127 Pestalozzi St,"St Louis, MO 63118",63118,"1127 Pestalozzi St, St Louis, MO 63118"
Anheuser-Busch Companies,Liquor Store,City of St Louis,Busch Pl,"St Louis, MO 63118",63118,"Busch Pl, St Louis, MO 63118"
Beer Meister of St Louis,Liquor Store,City of St Louis,3120 Lafayette Ave,"St Louis, MO 63104",63104,"3120 Lafayette Ave, St Louis, MO 63104"
Bellwether,Liquor Store,City of St Louis,1419 Carroll St,"St Louis, MO 63104",63104,"1419 Carroll St, St Louis, MO 63104"
Discount Smoke Shop,Liquor Store,City of St Louis,4600 Chippewa St,"St Louis, MO 63116",63116,"4600 Chippewa St, St Louis, MO 63116"
Erato Wine Bar,Liquor Store,City of St Louis,3117 S Grand Blvd,"St Louis, MO 63118",63118,"3117 S Grand Blvd, St Louis, MO 63118"
Internet Wines & Spirits,Liquor Store,City of St Louis,1910 S Jefferson Ave,"St Louis, MO 63104",63104,"1910 S Jefferson Ave, St Louis, MO 63104"
Lohr Distributing,Liquor Store,City of St Louis,1100 S 9th St,"St Louis, MO 63104",63104,"1100 S 9th St, St Louis, MO 63104"
Saint Louis Hop Shop,Liquor Store,City of St Louis,2600 Cherokee St,"St Louis, MO 63118",63118,"2600 Cherokee St, St Louis, MO 63118"
The Porch,Liquor Store,City of St Louis,1700 S 9th St,"St Louis, MO 63104",63104,"1700 S 9th St, St Louis, MO 63104"
Ace Cash Express,Payday Loan,City of St Louis,3655 S Grand Blvd,"St Louis, MO 63118",63118,"3655 S Grand Blvd, St Louis, MO 63118"
Holland & Jefferson Title Financing,Payday Loan,City of St Louis,3741 Virginia Ave,"St Louis, MO 63118",63118,"3741 Virginia Ave, St Louis, MO 63118"
Jefferson Financial Services,Payday Loan,City of St Louis,3351 S Jefferson Ave,"St Louis, MO 63118",63118,"3351 S Jefferson Ave, St Louis, MO 63118"
Lendnation,Payday Loan,City of St Louis,2615 Gravois Ave,"St Louis, MO 63118",63118,"2615 Gravois Ave, St Louis, MO 63118"
Missouri Title Loans,Payday Loan,City of St Louis,1937 Shenandoah Ave,"St Louis, MO 63104",63104,"1937 Shenandoah Ave, St Louis, MO 63104"
Quik Cash,Payday Loan,City of St Louis,2615 Gravois Ave,"St Louis, MO 63118",63118,"2615 Gravois Ave, St Louis, MO 63118"
Titlemax Title Secured Loans,Payday Loan,City of St Louis,2629 Gravois Ave,"St Louis, MO 63118",63118,"2629 Gravois Ave, St Louis, MO 63118"
